option,qualified_groups,M79_vs_1A,M85_vs_1B,M81_vs_1D,M74_vs_1E,M82_vs_1G,M77_vs_1I,M87_vs_1K,M80_vs_1L
177,ADFGHJKL,H,G,J,D,A,F,L,K
178,ADFGHIKL,H,G,I,D,A,F,L,K
179,ADFGHIJL,H,G,J,D,A,F,L,I
180,ADFGHIJK,H,G,J,D,A,F,I,K
181,ADEHIJKL,E,J,I,D,A,H,L,K
182,ADEGIJKL,E,J,I,D,A,G,L,K
183,ADEGHJKL,E,G,J,D,A,H,L,K
184,ADEGHIKL,E,G,I,D,A,H,L,K
185,ADEGHIJL,E,G,J,D,A,H,L,I
186,ADEGHIJK,E,G,J,D,A,H,I,K
187,ADEFIJKL,E,J,I,D,A,F,L,K
188,ADEFHJKL,H,J,E,D,A,F,L,K
189,ADEFHIKL,H,E,I,D,A,F,L,K
190,ADEFHIJL,H,J,E,D,A,F,L,I
191,ADEFHIJK,H,J,E,D,A,F,I,K
192,ADEFGJKL,E,G,J,D,A,F,L,K
193,ADEFGIKL,E,G,I,D,A,F,L,K
194,ADEFGIJL,E,G,J,D,A,F,L,I
195,ADEFGIJK,E,G,J,D,A,F,I,K
196,ADEFGHKL,H,G,E,D,A,F,L,K
197,ADEFGHJL,H,G,J,D,A,F,L,E
198,ADEFGHJK,H,G,J,D,A,F,E,K
199,ADEFGHIL,H,G,E,D,A,F,L,I
200,ADEFGHIK,H,G,E,D,A,F,I,K
201,ADEFGHIJ,H,G,J,D,A,F,E,I
202,ACGHIJKL,H,J,I,C,A,G,L,K
203,ACFHIJKL,H,J,I,C,A,F,L,K
204,ACFGIJKL,I,G,J,C,A,F,L,K
205,ACFGHJKL,H,G,J,C,A,F,L,K
206,ACFGHIKL,H,G,I,C,A,F,L,K
207,ACFGHIJL,H,G,J,C,A,F,L,I
208,ACFGHIJK,H,G,J,C,A,F,I,K
209,ACEHIJKL,E,J,I,C,A,H,L,K
210,ACEGIJKL,E,J,I,C,A,G,L,K
211,ACEGHJKL,E,G,J,C,A,H,L,K
212,ACEGHIKL,E,G,I,C,A,H,L,K
213,ACEGHIJL,E,G,J,C,A,H,L,I
214,ACEGHIJK,E,G,J,C,A,H,I,K
215,ACEFIJKL,E,J,I,C,A,F,L,K
216,ACEFHJKL,H,J,E,C,A,F,L,K
217,ACEFHIKL,H,E,I,C,A,F,L,K
218,ACEFHIJL,H,J,E,C,A,F,L,I
219,ACEFHIJK,H,J,E,C,A,F,I,K
220,ACEFGJKL,E,G,J,C,A,F,L,K
221,ACEFGIKL,E,G,I,C,A,F,L,K
222,ACEFGIJL,E,G,J,C,A,F,L,I
223,ACEFGIJK,E,G,J,C,A,F,I,K
224,ACEFGHKL,H,G,E,C,A,F,L,K
225,ACEFGHJL,H,G,J,C,A,F,L,E
226,ACEFGHJK,H,G,J,C,A,F,E,K
227,ACEFGHIL,H,G,E,C,A,F,L,I
228,ACEFGHIK,H,G,E,C,A,F,I,K
229,ACEFGHIJ,H,G,J,C,A,F,E,I
230,ACDHIJKL,H,J,I,C,A,D,L,K
231,ACDGIJKL,I,G,J,C,A,D,L,K
232,ACDGHJKL,H,G,J,C,A,D,L,K
233,ACDGHIKL,H,G,I,C,A,D,L,K
234,ACDGHIJL,H,G,J,C,A,D,L,I
235,ACDGHIJK,H,G,J,C,A,D,I,K
236,ACDFIJKL,C,J,I,D,A,F,L,K
237,ACDFHJKL,H,J,F,C,A,D,L,K
238,ACDFHIKL,H,F,I,C,A,D,L,K
239,ACDFHIJL,H,J,F,C,A,D,L,I
240,ACDFHIJK,H,J,F,C,A,D,I,K
241,ACDFGJKL,C,G,J,D,A,F,L,K
242,ACDFGIKL,C,G,I,D,A,F,L,K
243,ACDFGIJL,C,G,J,D,A,F,L,I
244,ACDFGIJK,C,G,J,D,A,F,I,K
245,ACDFGHKL,H,G,F,C,A,D,L,K
246,ACDFGHJL,C,G,J,D,A,F,L,H
247,ACDFGHJK,H,G,J,C,A,F,D,K
248,ACDFGHIL,H,G,F,C,A,D,L,I
249,ACDFGHIK,H,G,F,C,A,D,I,K
250,ACDFGHIJ,H,G,J,C,A,F,D,I
251,ACDEIJKL,E,J,I,C,A,D,L,K
252,ACDEHJKL,H,J,E,C,A,D,L,K
253,ACDEHIKL,H,E,I,C,A,D,L,K
254,ACDEHIJL,H,J,E,C,A,D,L,I
255,ACDEHIJK,H,J,E,C,A,D,I,K
256,ACDEGJKL,E,G,J,C,A,D,L,K
257,ACDEGIKL,E,G,I,C,A,D,L,K
258,ACDEGIJL,E,G,J,C,A,D,L,I
259,ACDEGIJK,E,G,J,C,A,D,I,K
260,ACDEGHKL,H,G,E,C,A,D,L,K
261,ACDEGHJL,H,G,J,C,A,D,L,E
262,ACDEGHJK,H,G,J,C,A,D,E,K
263,ACDEGHIL,H,G,E,C,A,D,L,I
264,ACDEGHIK,H,G,E,C,A,D,I,K
265,ACDEGHIJ,H,G,J,C,A,D,E,I
266,ACDEFJKL,C,J,E,D,A,F,L,K
267,ACDEFIKL,C,E,I,D,A,F,L,K
268,ACDEFIJL,C,J,E,D,A,F,L,I
269,ACDEFIJK,C,J,E,D,A,F,I,K
270,ACDEFHKL,H,E,F,C,A,D,L,K
271,ACDEFHJL,H,J,F,C,A,D,L,E
272,ACDEFHJK,H,J,E,C,A,F,D,K
273,ACDEFHIL,H,E,F,C,A,D,L,I
274,ACDEFHIK,H,E,F,C,A,D,I,K
275,ACDEFHIJ,H,J,E,C,A,F,D,I
276,ACDEFGKL,C,G,E,D,A,F,L,K
277,ACDEFGJL,C,G,J,D,A,F,L,E
278,ACDEFGJK,C,G,J,D,A,F,E,K
279,ACDEFGIL,C,G,E,D,A,F,L,I
280,ACDEFGIK,C,G,E,D,A,F,I,K
281,ACDEFGIJ,C,G,J,D,A,F,E,I
282,ACDEFGHL,H,G,F,C,A,D,L,E
283,ACDEFGHK,H,G,E,C,A,F,D,K
284,ACDEFGHJ,H,G,J,C,A,F,D,E
285,ACDEFGHI,H,G,E,C,A,F,D,I
286,ABGHIJKL,H,J,B,A,I,G,L,K
287,ABFHIJKL,H,J,B,A,I,F,L,K
288,ABFGIJKL,I,J,B,F,A,G,L,K
289,ABFGHJKL,H,J,B,F,A,G,L,K
290,ABFGHIKL,H,G,B,A,I,F,L,K
291,ABFGHIJL,H,J,B,F,A,G,L,I
292,ABFGHIJK,H,J,B,F,A,G,I,K
293,ABEHIJKL,E,J,B,A,I,H,L,K
294,ABEGIJKL,E,J,B,A,I,G,L,K
295,ABEGHJKL,E,J,B,A,H,G,L,K
296,ABEGHIKL,E,G,B,A,I,H,L,K
297,ABEGHIJL,E,J,B,A,H,G,L,I
298,ABEGHIJK,E,J,B,A,H,G,I,K
299,ABEFIJKL,E,J,B,A,I,F,L,K
300,ABEFHJKL,E,J,B,F,A,H,L,K
301,ABEFHIKL,E,I,B,F,A,H,L,K
302,ABEFHIJL,E,J,B,F,A,H,L,I
303,ABEFHIJK,E,J,B,F,A,H,I,K
304,ABEFGJKL,E,J,B,F,A,G,L,K
305,ABEFGIKL,E,G,B,A,I,F,L,K
306,ABEFGIJL,E,J,B,F,A,G,L,I
307,ABEFGIJK,E,J,B,F,A,G,I,K
308,ABEFGHKL,E,G,B,F,A,H,L,K
309,ABEFGHJL,H,J,B,F,A,G,L,E
310,ABEFGHJK,H,J,B,F,A,G,E,K
311,ABEFGHIL,E,G,B,F,A,H,L,I
312,ABEFGHIK,E,G,B,F,A,H,I,K
313,ABEFGHIJ,H,J,B,F,A,G,E,I
314,ABDHIJKL,I,J,B,D,A,H,L,K
315,ABDGIJKL,I,J,B,D,A,G,L,K
316,ABDGHJKL,H,J,B,D,A,G,L,K
317,ABDGHIKL,I,G,B,D,A,H,L,K
318,ABDGHIJL,H,J,B,D,A,G,L,I
319,ABDGHIJK,H,J,B,D,A,G,I,K
320,ABDFIJKL,I,J,B,D,A,F,L,K
321,ABDFHJKL,H,J,B,D,A,F,L,K
322,ABDFHIKL,H,I,B,D,A,F,L,K
323,ABDFHIJL,H,J,B,D,A,F,L,I
324,ABDFHIJK,H,J,B,D,A,F,I,K
325,ABDFGJKL,F,J,B,D,A,G,L,K
326,ABDFGIKL,I,G,B,D,A,F,L,K
327,ABDFGIJL,F,J,B,D,A,G,L,I
328,ABDFGIJK,F,J,B,D,A,G,I,K
329,ABDFGHKL,H,G,B,D,A,F,L,K
330,ABDFGHJL,H,G,B,D,A,F,L,J
331,ABDFGHJK,H,G,B,D,A,F,J,K
332,ABDFGHIL,H,G,B,D,A,F,L,I
333,ABDFGHIK,H,G,B,D,A,F,I,K
334,ABDFGHIJ,H,G,B,D,A,F,I,J
335,ABDEIJKL,E,J,B,A,I,D,L,K
336,ABDEHJKL,E,J,B,D,A,H,L,K
337,ABDEHIKL,E,I,B,D,A,H,L,K
338,ABDEHIJL,E,J,B,D,A,H,L,I
339,ABDEHIJK,E,J,B,D,A,H,I,K
340,ABDEGJKL,E,J,B,D,A,G,L,K
341,ABDEGIKL,E,G,B,A,I,D,L,K
342,ABDEGIJL,E,J,B,D,A,G,L,I
343,ABDEGIJK,E,J,B,D,A,G,I,K
344,ABDEGHKL,E,G,B,D,A,H,L,K
345,ABDEGHJL,H,J,B,D,A,G,L,E
346,ABDEGHJK,H,J,B,D,A,G,E,K
347,ABDEGHIL,E,G,B,D,A,H,L,I
348,ABDEGHIK,E,G,B,D,A,H,I,K
349,ABDEGHIJ,H,J,B,D,A,G,E,I
350,ABDEFJKL,E,J,B,D,A,F,L,K
351,ABDEFIKL,E,I,B,D,A,F,L,K
352,ABDEFIJL,E,J,B,D,A,F,L,I
353,ABDEFIJK,E,J,B,D,A,F,I,K
354,ABDEFHKL,H,E,B,D,A,F,L,K
355,ABDEFHJL,H,J,B,D,A,F,L,E
356,ABDEFHJK,H,J,B,D,A,F,E,K
357,ABDEFHIL,H,E,B,D,A,F,L,I
358,ABDEFHIK,H,E,B,D,A,F,I,K
359,ABDEFHIJ,H,J,B,D,A,F,E,I
360,ABDEFGKL,E,G,B,D,A,F,L,K
361,ABDEFGJL,E,G,B,D,A,F,L,J
362,ABDEFGJK,E,G,B,D,A,F,J,K
363,ABDEFGIL,E,G,B,D,A,F,L,I
364,ABDEFGIK,E,G,B,D,A,F,I,K
365,ABDEFGIJ,E,G,B,D,A,F,I,J
366,ABDEFGHL,H,G,B,D,A,F,L,E
367,ABDEFGHK,H,G,B,D,A,F,E,K
368,ABDEFGHJ,H,G,B,D,A,F,E,J
369,ABDEFGHI,H,G,B,D,A,F,E,I
370,ABCHIJKL,I,J,B,C,A,H,L,K
371,ABCGIJKL,I,J,B,C,A,G,L,K
372,ABCGHJKL,H,J,B,C,A,G,L,K
373,ABCGHIKL,I,G,B,C,A,H,L,K
374,ABCGHIJL,H,J,B,C,A,G,L,I
375,ABCGHIJK,H,J,B,C,A,G,I,K
376,ABCFIJKL,I,J,B,C,A,F,L,K
377,ABCFHJKL,H,J,B,C,A,F,L,K
378,ABCFHIKL,H,I,B,C,A,F,L,K
379,ABCFHIJL,H,J,B,C,A,F,L,I
380,ABCFHIJK,H,J,B,C,A,F,I,K
381,ABCFGJKL,C,J,B,F,A,G,L,K
382,ABCFGIKL,I,G,B,C,A,F,L,K
383,ABCFGIJL,C,J,B,F,A,G,L,I
384,ABCFGIJK,C,J,B,F,A,G,I,K
385,ABCFGHKL,H,G,B,C,A,F,L,K
386,ABCFGHJL,H,G,B,C,A,F,L,J
387,ABCFGHJK,H,G,B,C,A,F,J,K
388,ABCFGHIL,H,G,B,C,A,F,L,I
389,ABCFGHIK,H,G,B,C,A,F,I,K
390,ABCFGHIJ,H,G,B,C,A,F,I,J
391,ABCEIJKL,E,J,B,A,I,C,L,K
392,ABCEHJKL,E,J,B,C,A,H,L,K
393,ABCEHIKL,E,I,B,C,A,H,L,K
394,ABCEHIJL,E,J,B,C,A,H,L,I
395,ABCEHIJK,E,J,B,C,A,H,I,K
396,ABCEGJKL,E,J,B,C,A,G,L,K
397,ABCEGIKL,E,G,B,A,I,C,L,K
398,ABCEGIJL,E,J,B,C,A,G,L,I
399,ABCEGIJK,E,J,B,C,A,G,I,K
400,ABCEGHKL,E,G,B,C,A,H,L,K
401,ABCEGHJL,H,J,B,C,A,G,L,E
402,ABCEGHJK,H,J,B,C,A,G,E,K
403,ABCEGHIL,E,G,B,C,A,H,L,I
404,ABCEGHIK,E,G,B,C,A,H,I,K
405,ABCEGHIJ,H,J,B,C,A,G,E,I
406,ABCEFJKL,E,J,B,C,A,F,L,K
407,ABCEFIKL,E,I,B,C,A,F,L,K
408,ABCEFIJL,E,J,B,C,A,F,L,I
409,ABCEFIJK,E,J,B,C,A,F,I,K
410,ABCEFHKL,H,E,B,C,A,F,L,K
411,ABCEFHJL,H,J,B,C,A,F,L,E
412,ABCEFHJK,H,J,B,C,A,F,E,K
413,ABCEFHIL,H,E,B,C,A,F,L,I
414,ABCEFHIK,H,E,B,C,A,F,I,K
415,ABCEFHIJ,H,J,B,C,A,F,E,I
416,ABCEFGKL,E,G,B,C,A,F,L,K
417,ABCEFGJL,E,G,B,C,A,F,L,J
418,ABCEFGJK,E,G,B,C,A,F,J,K
419,ABCEFGIL,E,G,B,C,A,F,L,I
420,ABCEFGIK,E,G,B,C,A,F,I,K
421,ABCEFGIJ,E,G,B,C,A,F,I,J
422,ABCEFGHL,H,G,B,C,A,F,L,E
423,ABCEFGHK,H,G,B,C,A,F,E,K
424,ABCEFGHJ,H,G,B,C,A,F,E,J
425,ABCEFGHI,H,G,B,C,A,F,E,I
426,ABCDIJKL,I,J,B,C,A,D,L,K
427,ABCDHJKL,H,J,B,C,A,D,L,K
428,ABCDHIKL,H,I,B,C,A,D,L,K
429,ABCDHIJL,H,J,B,C,A,D,L,I
430,ABCDHIJK,H,J,B,C,A,D,I,K
431,ABCDGJKL,C,J,B,D,A,G,L,K
432,ABCDGIKL,I,G,B,C,A,D,L,K
433,ABCDGIJL,C,J,B,D,A,G,L,I
434,ABCDGIJK,C,J,B,D,A,G,I,K
435,ABCDGHKL,H,G,B,C,A,D,L,K
436,ABCDGHJL,H,G,B,C,A,D,L,J
437,ABCDGHJK,H,G,B,C,A,D,J,K
438,ABCDGHIL,H,G,B,C,A,D,L,I
439,ABCDGHIK,H,G,B,C,A,D,I,K
440,ABCDGHIJ,H,G,B,C,A,D,I,J
441,ABCDFJKL,C,J,B,D,A,F,L,K
442,ABCDFIKL,C,I,B,D,A,F,L,K
443,ABCDFIJL,C,J,B,D,A,F,L,I
444,ABCDFIJK,C,J,B,D,A,F,I,K
445,ABCDFHKL,H,F,B,C,A,D,L,K
446,ABCDFHJL,C,J,B,D,A,F,L,H
447,ABCDFHJK,H,J,B,C,A,F,D,K
448,ABCDFHIL,H,F,B,C,A,D,L,I
449,ABCDFHIK,H,F,B,C,A,D,I,K
450,ABCDFHIJ,H,J,B,C,A,F,D,I
451,ABCDFGKL,C,G,B,D,A,F,L,K
452,ABCDFGJL,C,G,B,D,A,F,L,J
453,ABCDFGJK,C,G,B,D,A,F,J,K
454,ABCDFGIL,C,G,B,D,A,F,L,I
455,ABCDFGIK,C,G,B,D,A,F,I,K
456,ABCDFGIJ,C,G,B,D,A,F,I,J
457,ABCDFGHL,C,G,B,D,A,F,L,H
458,ABCDFGHK,H,G,B,C,A,F,D,K
459,ABCDFGHJ,H,G,B,C,A,F,D,J
460,ABCDFGHI,H,G,B,C,A,F,D,I
461,ABCDEJKL,E,J,B,C,A,D,L,K
462,ABCDEIKL,E,I,B,C,A,D,L,K
463,ABCDEIJL,E,J,B,C,A,D,L,I
464,ABCDEIJK,E,J,B,C,A,D,I,K
465,ABCDEHKL,H,E,B,C,A,D,L,K
466,ABCDEHJL,H,J,B,C,A,D,L,E
467,ABCDEHJK,H,J,B,C,A,D,E,K
468,ABCDEHIL,H,E,B,C,A,D,L,I
469,ABCDEHIK,H,E,B,C,A,D,I,K
470,ABCDEHIJ,H,J,B,C,A,D,E,I
471,ABCDEGKL,E,G,B,C,A,D,L,K
472,ABCDEGJL,E,G,B,C,A,D,L,J
473,ABCDEGJK,E,G,B,C,A,D,J,K
474,ABCDEGIL,E,G,B,C,A,D,L,I
475,ABCDEGIK,E,G,B,C,A,D,I,K
476,ABCDEGIJ,E,G,B,C,A,D,I,J
477,ABCDEGHL,H,G,B,C,A,D,L,E
478,ABCDEGHK,H,G,B,C,A,D,E,K
479,ABCDEGHJ,H,G,B,C,A,D,E,J
480,ABCDEGHI,H,G,B,C,A,D,E,I
481,ABCDEFKL,C,E,B,D,A,F,L,K
482,ABCDEFJL,C,J,B,D,A,F,L,E
483,ABCDEFJK,C,J,B,D,A,F,E,K
484,ABCDEFIL,C,E,B,D,A,F,L,I
485,ABCDEFIK,C,E,B,D,A,F,I,K
486,ABCDEFIJ,C,J,B,D,A,F,E,I
487,ABCDEFHL,H,F,B,C,A,D,L,E
488,ABCDEFHK,H,E,B,C,A,F,D,K
489,ABCDEFHJ,H,J,B,C,A,F,D,E
490,ABCDEFHI,H,E,B,C,A,F,D,I
491,ABCDEFGL,C,G,B,D,A,F,L,E
492,ABCDEFGK,C,G,B,D,A,F,E,K
493,ABCDEFGJ,C,G,B,D,A,F,E,J
494,ABCDEFGI,C,G,B,D,A,F,E,I
495,ABCDEFGH,H,G,B,C,A,F,D,E
